district,reg_voters,total_votes,total_votes_percent,valid_votes,received_station,received_station_total,candidate,candidate_votes,candidate_votes_percent
ARUA CITY,170066,77968,45.85,73323,289,289,KYAGULANYI SSENTAMU ROBERT,28493,38.86
ARUA CITY,170066,77968,45.85,73323,289,289,MAO NORBERT,772,1.05
ARUA CITY,170066,77968,45.85,73323,289,289,MAYAMBALA WILLY,151,0.21
ARUA CITY,170066,77968,45.85,73323,289,289,MUGISHA MUNTU GREGG,563,0.77
ARUA CITY,170066,77968,45.85,73323,289,289,MWESIGYE FRED,233,0.32
ARUA CITY,170066,77968,45.85,73323,289,289,TUMUKUNDE HENRY KAKURUGU,863,1.18
ARUA CITY,170066,77968,45.85,73323,289,289,YOWERI MUSEVENI TIBUHABURWA KAGUTA,39566,53.96
ARUA CITY,170066,77968,45.85,73323,289,289,Invalid Votes,4645,5.96
BUDAKA,100900,63330,62.77,63330,190,190,AMURIAT OBOI PATRICK,825,1.3
BUDAKA,100900,63330,62.77,63330,190,190,KABULETA KIIZA JOSEPH,307,0.48
BUDAKA,100900,63330,62.77,63330,190,190,KALEMBE NANCY LINDA,357,0.56
BUDAKA,100900,63330,62.77,63330,190,190,KATUMBA JOHN,181,0.29
BUDAKA,100900,63330,62.77,63330,190,190,KYAGULANYI SSENTAMU ROBERT,27281,43.08
BUDAKA,100900,63330,62.77,63330,190,190,MAO NORBERT,157,0.25
BUDAKA,100900,63330,62.77,63330,190,190,MAYAMBALA WILLY,184,0.29
BUDAKA,100900,63330,62.77,63330,190,190,MUGISHA MUNTU GREGG,193,0.3
BUDAKA,100900,63330,62.77,63330,190,190,MWESIGYE FRED,326,0.51
BUDAKA,100900,63330,62.77,63330,190,190,TUMUKUNDE HENRY KAKURUGU,258,0.41
BUDAKA,100900,63330,62.77,63330,190,190,YOWERI MUSEVENI TIBUHABURWA KAGUTA,33261,52.52
BUDAKA,100900,63330,62.77,63330,190,190,Invalid Votes,0,0
BUDUDA,73039,46547,63.73,45115,208,208,AMURIAT OBOI PATRICK,421,0.93
BUDUDA,73039,46547,63.73,45115,208,208,KABULETA KIIZA JOSEPH,83,0.18
BUDUDA,73039,46547,63.73,45115,208,208,KALEMBE NANCY LINDA,85,0.19
BUDUDA,73039,46547,63.73,45115,208,208,KATUMBA JOHN,62,0.14
BUDUDA,73039,46547,63.73,45115,208,208,KYAGULANYI SSENTAMU ROBERT,14666,32.51
BUDUDA,73039,46547,63.73,45115,208,208,MAO NORBERT,57,0.13
BUDUDA,73039,46547,63.73,45115,208,208,MAYAMBALA WILLY,31,0.07
BUDUDA,73039,46547,63.73,45115,208,208,MUGISHA MUNTU GREGG,87,0.19
BUDUDA,73039,46547,63.73,45115,208,208,MWESIGYE FRED,81,0.18
BUDUDA,73039,46547,63.73,45115,208,208,TUMUKUNDE HENRY KAKURUGU,318,0.7
BUDUDA,73039,46547,63.73,45115,208,208,YOWERI MUSEVENI TIBUHABURWA KAGUTA,29224,64.78
BUDUDA,73039,46547,63.73,45115,208,208,Invalid Votes,1432,3.08
BUGIRI,193053,104875,54.32,99590,371,371,AMURIAT OBOI PATRICK,1836,1.84
BUGIRI,193053,104875,54.32,99590,371,371,KABULETA KIIZA JOSEPH,256,0.26
BUGIRI,193053,104875,54.32,99590,371,371,KALEMBE NANCY LINDA,417,0.42
BUGIRI,193053,104875,54.32,99590,371,371,KATUMBA JOHN,267,0.27
BUGIRI,193053,104875,54.32,99590,371,371,KYAGULANYI SSENTAMU ROBERT,49475,49.68
BUGIRI,193053,104875,54.32,99590,371,371,MAO NORBERT,279,0.28
BUGIRI,193053,104875,54.32,99590,371,371,MAYAMBALA WILLY,134,0.13
BUGIRI,193053,104875,54.32,99590,371,371,MUGISHA MUNTU GREGG,328,0.33
BUGIRI,193053,104875,54.32,99590,371,371,MWESIGYE FRED,226,0.23
BUGIRI,193053,104875,54.32,99590,371,371,TUMUKUNDE HENRY KAKURUGU,392,0.39
BUGIRI,193053,104875,54.32,99590,371,371,YOWERI MUSEVENI TIBUHABURWA KAGUTA,45980,46.17
BUGIRI,193053,104875,54.32,99590,371,371,Invalid Votes,5285,5.04
BUGWERI,84953,47064,55.4,45046,154,154,AMURIAT OBOI PATRICK,563,1.25
BUGWERI,84953,47064,55.4,45046,154,154,KABULETA KIIZA JOSEPH,294,0.65
BUGWERI,84953,47064,55.4,45046,154,154,KALEMBE NANCY LINDA,298,0.66
BUGWERI,84953,47064,55.4,45046,154,154,KATUMBA JOHN,94,0.21
BUGWERI,84953,47064,55.4,45046,154,154,KYAGULANYI SSENTAMU ROBERT,25939,57.58
BUGWERI,84953,47064,55.4,45046,154,154,MAO NORBERT,79,0.18
BUGWERI,84953,47064,55.4,45046,154,154,MAYAMBALA WILLY,29,0.06
BUGWERI,84953,47064,55.4,45046,154,154,MUGISHA MUNTU GREGG,153,0.34
BUGWERI,84953,47064,55.4,45046,154,154,MWESIGYE FRED,47,0.1
BUGWERI,84953,47064,55.4,45046,154,154,TUMUKUNDE HENRY KAKURUGU,122,0.27
BUGWERI,84953,47064,55.4,45046,154,154,YOWERI MUSEVENI TIBUHABURWA KAGUTA,17428,38.69
BUGWERI,84953,47064,55.4,45046,154,154,Invalid Votes,2018,4.29
BUHWEJU,66649,48892,73.36,47619,182,182,AMURIAT OBOI PATRICK,993,2.09
BUHWEJU,66649,48892,73.36,47619,182,182,KABULETA KIIZA JOSEPH,159,0.33
BUHWEJU,66649,48892,73.36,47619,182,182,KALEMBE NANCY LINDA,123,0.26
BUHWEJU,66649,48892,73.36,47619,182,182,KATUMBA JOHN,325,0.68
BUHWEJU,66649,48892,73.36,47619,182,182,KYAGULANYI SSENTAMU ROBERT,3602,7.56
BUHWEJU,66649,48892,73.36,47619,182,182,MAO NORBERT,83,0.17
BUHWEJU,66649,48892,73.36,47619,182,182,MAYAMBALA WILLY,34,0.07
BUHWEJU,66649,48892,73.36,47619,182,182,MUGISHA MUNTU GREGG,490,1.03
BUHWEJU,66649,48892,73.36,47619,182,182,MWESIGYE FRED,94,0.2
BUHWEJU,66649,48892,73.36,47619,182,182,TUMUKUNDE HENRY KAKURUGU,293,0.62
BUHWEJU,66649,48892,73.36,47619,182,182,YOWERI MUSEVENI TIBUHABURWA KAGUTA,41423,86.99
BUHWEJU,66649,48892,73.36,47619,182,182,Invalid Votes,1273,2.6
BUIKWE,235640,131209,55.68,125779,432,432,AMURIAT OBOI PATRICK,1039,0.83
BUIKWE,235640,131209,55.68,125779,432,432,KABULETA KIIZA JOSEPH,219,0.17
BUIKWE,235640,131209,55.68,125779,432,432,KALEMBE NANCY LINDA,314,0.25
BUIKWE,235640,131209,55.68,125779,432,432,KATUMBA JOHN,382,0.3
BUIKWE,235640,131209,55.68,125779,432,432,KYAGULANYI SSENTAMU ROBERT,81852,65.08
BUIKWE,235640,131209,55.68,125779,432,432,MAO NORBERT,388,0.31
BUIKWE,235640,131209,55.68,125779,432,432,MAYAMBALA WILLY,68,0.05
BUIKWE,235640,131209,55.68,125779,432,432,MUGISHA MUNTU GREGG,259,0.21
BUIKWE,235640,131209,55.68,125779,432,432,MWESIGYE FRED,152,0.12
BUIKWE,235640,131209,55.68,125779,432,432,TUMUKUNDE HENRY KAKURUGU,206,0.16
BUIKWE,235640,131209,55.68,125779,432,432,YOWERI MUSEVENI TIBUHABURWA KAGUTA,40900,32.52
BUIKWE,235640,131209,55.68,125779,432,432,Invalid Votes,5430,4.14
BUKEDEA,99828,61724,61.83,58576,180,180,AMURIAT OBOI PATRICK,14331,24.47
BUKEDEA,99828,61724,61.83,58576,180,180,KABULETA KIIZA JOSEPH,389,0.66
BUKEDEA,99828,61724,61.83,58576,180,180,KALEMBE NANCY LINDA,64,0.11
BUKEDEA,99828,61724,61.83,58576,180,180,KATUMBA JOHN,126,0.22
BUKEDEA,99828,61724,61.83,58576,180,180,KYAGULANYI SSENTAMU ROBERT,4980,8.5
BUKEDEA,99828,61724,61.83,58576,180,180,MAO NORBERT,118,0.2
BUKEDEA,99828,61724,61.83,58576,180,180,MAYAMBALA WILLY,46,0.08
BUKEDEA,99828,61724,61.83,58576,180,180,MUGISHA MUNTU GREGG,227,0.39
BUKEDEA,99828,61724,61.83,58576,180,180,MWESIGYE FRED,246,0.42
BUKEDEA,99828,61724,61.83,58576,180,180,TUMUKUNDE HENRY KAKURUGU,459,0.78
BUKEDEA,99828,61724,61.83,58576,180,180,YOWERI MUSEVENI TIBUHABURWA KAGUTA,37590,64.17
BUKEDEA,99828,61724,61.83,58576,180,180,Invalid Votes,3148,5.1
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,AMURIAT OBOI PATRICK,118,0.25
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,KABULETA KIIZA JOSEPH,30,0.06
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,KALEMBE NANCY LINDA,42,0.09
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,KATUMBA JOHN,92,0.2
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,KYAGULANYI SSENTAMU ROBERT,32155,69.32
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,MAO NORBERT,106,0.23
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,MAYAMBALA WILLY,18,0.04
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,MUGISHA MUNTU GREGG,52,0.11
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,MWESIGYE FRED,34,0.07
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,TUMUKUNDE HENRY KAKURUGU,88,0.19
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,YOWERI MUSEVENI TIBUHABURWA KAGUTA,13649,29.43
BUKOMANSIMBI,76557,47591,62.16,46384,147,151,Invalid Votes,1207,2.54
BUKWO,44126,32895,74.55,31920,140,140,AMURIAT OBOI PATRICK,451,1.41
BUKWO,44126,32895,74.55,31920,140,140,KABULETA KIIZA JOSEPH,73,0.23
BUKWO,44126,32895,74.55,31920,140,140,KALEMBE NANCY LINDA,80,0.25
BUKWO,44126,32895,74.55,31920,140,140,KATUMBA JOHN,43,0.13
BUKWO,44126,32895,74.55,31920,140,140,KYAGULANYI SSENTAMU ROBERT,3032,9.5
BUKWO,44126,32895,74.55,31920,140,140,MAO NORBERT,56,0.18
BUKWO,44126,32895,74.55,31920,140,140,MAYAMBALA WILLY,72,0.23
BUKWO,44126,32895,74.55,31920,140,140,MUGISHA MUNTU GREGG,80,0.25
BUKWO,44126,32895,74.55,31920,140,140,MWESIGYE FRED,52,0.16
BUKWO,44126,32895,74.55,31920,140,140,TUMUKUNDE HENRY KAKURUGU,93,0.29
BUKWO,44126,32895,74.55,31920,140,140,YOWERI MUSEVENI TIBUHABURWA KAGUTA,27888,87.37
BUKWO,44126,32895,74.55,31920,140,140,Invalid Votes,975,2.96
BULAMBULI,71664,52560,73.34,51021,245,245,AMURIAT OBOI PATRICK,700,1.37
BULAMBULI,71664,52560,73.34,51021,245,245,KABULETA KIIZA JOSEPH,65,0.13
BULAMBULI,71664,52560,73.34,51021,245,245,KALEMBE NANCY LINDA,132,0.26
BULAMBULI,71664,52560,73.34,51021,245,245,KATUMBA JOHN,43,0.08
BULAMBULI,71664,52560,73.34,51021,245,245,KYAGULANYI SSENTAMU ROBERT,10788,21.14
BULAMBULI,71664,52560,73.34,51021,245,245,MAO NORBERT,57,0.11
BULAMBULI,71664,52560,73.34,51021,245,245,MAYAMBALA WILLY,16,0.03
BULAMBULI,71664,52560,73.34,51021,245,245,MUGISHA MUNTU GREGG,57,0.11
BULAMBULI,71664,52560,73.34,51021,245,245,MWESIGYE FRED,87,0.17
BULAMBULI,71664,52560,73.34,51021,245,245,TUMUKUNDE HENRY KAKURUGU,104,0.2
BULAMBULI,71664,52560,73.34,51021,245,245,YOWERI MUSEVENI TIBUHABURWA KAGUTA,38972,76.38
BULAMBULI,71664,52560,73.34,51021,245,245,Invalid Votes,1539,2.93
BULIISA,44869,28326,63.13,26630,96,96,AMURIAT OBOI PATRICK,355,1.33
BULIISA,44869,28326,63.13,26630,96,96,KABULETA KIIZA JOSEPH,194,0.73
BULIISA,44869,28326,63.13,26630,96,96,KALEMBE NANCY LINDA,86,0.32
BULIISA,44869,28326,63.13,26630,96,96,KATUMBA JOHN,50,0.19
BULIISA,44869,28326,63.13,26630,96,96,KYAGULANYI SSENTAMU ROBERT,6152,23.1
BULIISA,44869,28326,63.13,26630,96,96,MAO NORBERT,89,0.33
BULIISA,44869,28326,63.13,26630,96,96,MAYAMBALA WILLY,17,0.06
BULIISA,44869,28326,63.13,26630,96,96,MUGISHA MUNTU GREGG,104,0.39
BULIISA,44869,28326,63.13,26630,96,96,MWESIGYE FRED,80,0.3
BULIISA,44869,28326,63.13,26630,96,96,TUMUKUNDE HENRY KAKURUGU,187,0.7
BULIISA,44869,28326,63.13,26630,96,96,YOWERI MUSEVENI TIBUHABURWA KAGUTA,19316,72.53
BULIISA,44869,28326,63.13,26630,96,96,Invalid Votes,1696,5.99
BUNDIBUGYO,113472,73918,65.14,71773,297,298,AMURIAT OBOI PATRICK,227,0.32
BUNDIBUGYO,113472,73918,65.14,71773,297,298,KABULETA KIIZA JOSEPH,119,0.17
BUNDIBUGYO,113472,73918,65.14,71773,297,298,KALEMBE NANCY LINDA,153,0.21
BUNDIBUGYO,113472,73918,65.14,71773,297,298,KATUMBA JOHN,148,0.21
BUNDIBUGYO,113472,73918,65.14,71773,297,298,KYAGULANYI SSENTAMU ROBERT,18076,25.18
BUNDIBUGYO,113472,73918,65.14,71773,297,298,MAO NORBERT,92,0.13
BUNDIBUGYO,113472,73918,65.14,71773,297,298,MAYAMBALA WILLY,36,0.05
BUNDIBUGYO,113472,73918,65.14,71773,297,298,MUGISHA MUNTU GREGG,185,0.26
BUNDIBUGYO,113472,73918,65.14,71773,297,298,MWESIGYE FRED,100,0.14
BUNDIBUGYO,113472,73918,65.14,71773,297,298,TUMUKUNDE HENRY KAKURUGU,229,0.32
BUNDIBUGYO,113472,73918,65.14,71773,297,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA,52408,73.02
BUNDIBUGYO,113472,73918,65.14,71773,297,298,Invalid Votes,2145,2.9
BUNYANGABU,92440,57893,62.63,56257,184,184,AMURIAT OBOI PATRICK,432,0.77
BUNYANGABU,92440,57893,62.63,56257,184,184,KABULETA KIIZA JOSEPH,144,0.26
BUNYANGABU,92440,57893,62.63,56257,184,184,KALEMBE NANCY LINDA,222,0.39
BUNYANGABU,92440,57893,62.63,56257,184,184,KATUMBA JOHN,254,0.45
BUNYANGABU,92440,57893,62.63,56257,184,184,KYAGULANYI SSENTAMU ROBERT,9816,17.45
BUNYANGABU,92440,57893,62.63,56257,184,184,MAO NORBERT,56,0.1
BUNYANGABU,92440,57893,62.63,56257,184,184,MAYAMBALA WILLY,33,0.06
BUNYANGABU,92440,57893,62.63,56257,184,184,MUGISHA MUNTU GREGG,553,0.98
BUNYANGABU,92440,57893,62.63,56257,184,184,MWESIGYE FRED,108,0.19
BUNYANGABU,92440,57893,62.63,56257,184,184,TUMUKUNDE HENRY KAKURUGU,204,0.36
BUNYANGABU,92440,57893,62.63,56257,184,184,YOWERI MUSEVENI TIBUHABURWA KAGUTA,44435,78.99
BUNYANGABU,92440,57893,62.63,56257,184,184,Invalid Votes,1636,2.83
BUSHENYI,140415,87415,62.25,84741,258,258,AMURIAT OBOI PATRICK,2029,2.39
BUSHENYI,140415,87415,62.25,84741,258,258,KABULETA KIIZA JOSEPH,295,0.35
BUSHENYI,140415,87415,62.25,84741,258,258,KALEMBE NANCY LINDA,337,0.4
BUSHENYI,140415,87415,62.25,84741,258,258,KATUMBA JOHN,866,1.02
BUSHENYI,140415,87415,62.25,84741,258,258,KYAGULANYI SSENTAMU ROBERT,10937,12.91
BUSHENYI,140415,87415,62.25,84741,258,258,MAO NORBERT,138,0.16
BUSHENYI,140415,87415,62.25,84741,258,258,MAYAMBALA WILLY,51,0.06
BUSHENYI,140415,87415,62.25,84741,258,258,MUGISHA MUNTU GREGG,2841,3.35
BUSHENYI,140415,87415,62.25,84741,258,258,MWESIGYE FRED,141,0.17
BUSHENYI,140415,87415,62.25,84741,258,258,TUMUKUNDE HENRY KAKURUGU,534,0.63
BUSHENYI,140415,87415,62.25,84741,258,258,YOWERI MUSEVENI TIBUHABURWA KAGUTA,66572,78.56
BUSHENYI,140415,87415,62.25,84741,258,258,Invalid Votes,2674,3.06
BUSIA,163571,100883,61.68,96090,284,284,AMURIAT OBOI PATRICK,2671,2.78
